Observación	Modelo	Mejor Ajuste	Parámetro
Obser_6_5	L_P	0.803272072811	e
Obser_6_5	L_P	3187.34710244	Likelihood
Obser_6_6	L_P	-4.96626306722	a
Obser_6_6	L_P	-3.14876322787	b
Obser_6_6	L_P	15.5494525158	c
Obser_6_6	L_P	3.96732452995	d
Obser_6_6	L_P	6.04661495621	e
Obser_6_6	L_P	1350.28124878	Likelihood
Obser_6_7	L_P	0.408196561038	a
Obser_6_7	L_P	-5.30916261106	b
Obser_6_7	L_P	26.9597278337	c
Obser_6_7	L_P	0.855495936231	d
Obser_6_7	L_P	5.60941640836	e
Obser_6_7	L_P	750.836947706	Likelihood
Obser_6_8	L_G	3.87837365008	a
Obser_6_8	L_G	-0.695544041999	b
Obser_6_8	L_G	-0.113906769669	c
Obser_6_8	L_G	3.15921050118	d
Obser_6_8	L_G	2473.14755855	Likelihood
Obser_6_9	L_G	11.0289992512	a
Obser_6_9	L_G	-1.30441586296	b
Obser_6_9	L_G	0.0176305186706	c
Obser_6_9	L_G	0.0131893646648	d
Obser_6_9	L_G	2052.76043529	Likelihood
Obser_7_0	L_P	81.303307986	a
Obser_7_0	L_P	-12.1290268138	b
Obser_7_0	L_P	18.9302898141	c
Obser_7_0	L_P	2.76062286835	d
Obser_7_0	L_P	0.552417026356	e
Obser_7_0	L_P	905.86077087	Likelihood
Obser_7_1	L_P	50.6122958183	a
Obser_7_1	L_P	-14.0964383087	b
Obser_7_1	L_P	31.051202306	c
Obser_7_1	L_P	0.771669951204	d
Obser_7_1	L_P	1.38425658475	e
Obser_7_1	L_P	2077.99149095	Likelihood
Obser_7_2	L_P	42.0160967989	a
Obser_7_2	L_P	-9.105919796	b
Obser_7_2	L_P	8.456620278	c
Obser_7_2	L_P	6.42983848524	d
Obser_7_2	L_P	3.0812029518	e
Obser_7_2	L_P	2502.56484831	Likelihood
Obser_7_3	L_P	-12.8187199556	a
Obser_7_3	L_P	-3.42680503771	b
Obser_7_3	L_P	12.3154866051	c
Obser_7_3	L_P	3.23072448345	d
Obser_7_3	L_P	0.827273979477	e
Obser_7_3	L_P	1348.01499125	Likelihood
Obser_7_4	L_G	-12.8102740456	a
Obser_7_4	L_G	0.0390585492341	b
Obser_7_4	L_G	-0.0190708314156	c
Obser_7_4	L_G	0.0238636232924	d
Obser_7_4	L_G	2210.91379897	Likelihood
Obser_7_5	L_P	-7.50615190388	a
Obser_7_5	L_P	-2.59231820236	b
Obser_7_5	L_P	10.0966670262	c
Obser_7_5	L_P	13.9111648146	d
Obser_7_5	L_P	6.04915840412	e
Obser_7_5	L_P	3801.99226355	Likelihood
